Date,Revenue
01/09/2020,15.590.000
02/09/2020,14.660.000
03/09/2020,12.460.000
04/09/2020,12.080.000
05/09/2020,16.940.000
06/09/2020,10.330.000
07/09/2020,14.545.000
08/09/2020,17.240.000
09/09/2020,13.820.000
10/09/2020,19.540.000
11/09/2020,16.060.000
12/09/2020,14.190.000
13/09/2020,13.340.000
14/09/2020,18.820.000
15/09/2020,14.480.000
16/09/2020,12.570.000
17/09/2020,16.610.000
18/09/2020,14.650.000
19/09/2020,12.760.000
20/09/2020,14.230.000
21/09/2020,11.370.000
22/09/2020,12.440.000
23/09/2020,13.950.000
24/09/2020,18.510.000
25/09/2020,19.120.000
26/09/2020,16.330.000
27/09/2020,14.760.000
28/09/2020,12.950.000
29/09/2020,17.450.000
30/09/2020,15.220.000
31/09/2020,18.130.000
